,Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,14,13,14,9,11,12,7,10,5,7,8,10,3,14,14,12,11
Lunaspis,14,0,8,12,7,7,9,10,14,11,9,9,13,10,12,15,19,17
Entelognathus,13,8,0,9,9,9,8,11,15,8,10,13,14,9,10,14,21,12
Eusthenopteron,14,12,9,0,9,12,11,12,13,11,10,16,14,9,18,10,15,14
Cowralepis,9,7,9,9,0,5,6,7,11,7,8,10,11,7,13,11,12,11
Eurycaraspis,11,7,9,12,5,0,2,10,11,8,8,12,13,11,13,14,21,11
Diandongpetalichthys,12,9,8,11,6,2,0,10,10,9,6,9,11,10,8,11,17,11
Meemannia,7,10,11,12,7,10,10,0,7,5,10,11,12,5,17,8,12,6
Dialipina,10,14,15,13,11,11,10,7,0,8,8,12,10,10,15,14,17,11
Wuttagoonaspis,5,11,8,11,7,8,9,5,8,0,9,7,7,7,13,17,15,13
Actinolepis,7,9,10,10,8,8,6,10,8,9,0,7,12,5,16,8,10,15
Romundina,8,9,13,16,10,12,9,11,12,7,7,0,13,7,10,16,24,22
Bothriolepis,10,13,14,14,11,13,11,12,10,7,12,13,0,11,15,17,21,19
Buchanosteus,3,10,9,9,7,11,10,5,10,7,5,7,11,0,14,10,13,8
Brindabellaspis,14,12,10,18,13,13,8,17,15,13,16,10,15,14,0,21,38,19
Moythomasia,14,15,14,10,11,14,11,8,14,17,8,16,17,10,21,0,19,8
Guiyu,12,19,21,15,12,21,17,12,17,15,10,24,21,13,38,19,0,21
Cheirolepis,11,17,12,14,11,11,11,6,11,13,15,22,19,8,19,8,21,0
