Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,11,11,10,9,12,10,9,14,5,6,9,10,5,16,9,15,10
Lunaspis,11,0,7,11,6,6,0,10,13,10,10,10,11,10,14,15,18,11
Entelognathus,11,7,0,9,8,7,0,11,12,8,9,14,0,7,9,14,17,9
Eusthenopteron,10,11,9,0,9,15,8,12,12,12,8,15,14,7,0,7,13,9
Cowralepis,9,6,8,9,0,5,5,6,8,0,5,8,9,6,11,10,13,9
Eurycaraspis,12,6,7,15,5,0,2,8,0,8,6,8,10,10,10,12,16,10
Diandongpetalichthys,10,0,0,8,5,2,0,9,8,8,7,7,10,6,8,16,17,12
Meemannia,9,10,11,12,6,8,9,0,6,0,5,0,10,5,15,10,12,0
Dialipina,14,13,12,12,8,0,8,6,0,8,7,14,10,10,16,11,18,11
Wuttagoonaspis,5,10,8,12,0,8,8,0,8,0,8,8,6,6,11,15,15,14
Actinolepis,6,10,9,8,5,6,7,5,7,8,0,7,9,3,16,8,13,12
Romundina,9,10,14,15,8,8,7,0,14,8,7,0,7,6,13,12,20,16
Bothriolepis,10,11,0,14,9,10,10,10,10,6,9,7,0,10,11,19,18,19
Buchanosteus,5,10,7,7,6,10,6,5,10,6,3,6,10,0,13,8,13,7
Brindabellaspis,16,14,9,0,11,10,8,15,16,11,16,13,11,13,0,23,28,17
Moythomasia,9,15,14,7,10,12,16,10,11,15,8,12,19,8,23,0,16,0
Guiyu,15,18,17,13,13,16,17,12,18,15,13,20,18,13,28,16,0,19
Cheirolepis,10,11,9,9,9,10,12,0,11,14,12,16,19,7,17,0,19,0
