Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,17,11,7,10,15,14,9,12,8,7,13,16,5,20,14,12,11
Lunaspis,17,0,10,16,6,5,7,15,16,6,12,16,11,11,15,22,20,19
Entelognathus,11,10,0,9,10,11,7,13,11,6,11,14,15,8,15,22,19,16
Eusthenopteron,7,16,9,0,13,18,13,15,15,15,10,16,19,7,22,11,11,11
Cowralepis,10,6,10,13,0,7,6,9,12,6,8,15,11,8,16,17,17,13
Eurycaraspis,15,5,11,18,7,0,2,12,15,8,8,13,13,12,14,18,24,20
Diandongpetalichthys,14,7,7,13,6,2,0,11,12,8,9,10,10,11,13,20,21,19
Meemannia,9,15,13,15,9,12,11,0,4,7,11,15,13,9,24,12,22,10
Dialipina,12,16,11,15,12,15,12,4,0,11,11,16,15,13,24,17,23,12
Wuttagoonaspis,8,6,6,15,6,8,8,7,11,0,9,13,10,6,18,21,17,14
Actinolepis,7,12,11,10,8,8,9,11,11,9,0,9,15,6,18,13,18,15
Romundina,13,16,14,16,15,13,10,15,16,13,9,0,14,11,18,24,23,21
Bothriolepis,16,11,15,19,11,13,10,13,15,10,15,14,0,13,15,30,25,25
Buchanosteus,5,11,8,7,8,12,11,9,13,6,6,11,13,0,19,14,10,12
Brindabellaspis,20,15,15,22,16,14,13,24,24,18,18,18,15,19,0,26,25,22
Moythomasia,14,22,22,11,17,18,20,12,17,21,13,24,30,14,26,0,21,15
Guiyu,12,20,19,11,17,24,21,22,23,17,18,23,25,10,25,21,0,19
Cheirolepis,11,19,16,11,13,20,19,10,12,14,15,21,25,12,22,15,19,0
