"ID","X1","X2","SYPA","GREVO","MAGNA"
"57","Eusthenopteron","Bothriolepis",0.194029850746269,14,0.675676
"58","Eusthenopteron","Brindabellaspis",0.365853658536585,18,0.689655
"59","Eusthenopteron","Buchanosteus",0.5,7,0.882353
"60","Eusthenopteron","Cheirolepis",0.631578947368421,11,0.618182
"61","Eusthenopteron","Cowralepis",0.145161290322581,9,0.791667
"62","Eusthenopteron","Dialipina",0.126760563380282,12,0.702703
"63","Eusthenopteron","Diandongpetalichthys",0.154929577464789,8,0.675
"64","Eusthenopteron","Dicksonosteus",0.666666666666667,7,0.869565
"65","Eusthenopteron","Entelognathus",0.46551724137931,9,0.714286
"66","Eusthenopteron","Eurycaraspis",0.131578947368421,11,0.638298
"67","Guiyu","Actinolepis",0.297297297297297,10,0.8
"68","Guiyu","Bothriolepis",0.166666666666667,16,0.742857
"69","Guiyu","Brindabellaspis",0.397727272727273,25,0.618421
"70","Guiyu","Buchanosteus",0.46031746031746,10,0.805556
"71","Guiyu","Cheirolepis",0.405405405405405,19,0.66
"72","Guiyu","Cowralepis",0.138888888888889,11,0.777778
"73","Guiyu","Dialipina",0.109756097560976,17,0.722222
"74","Guiyu","Diandongpetalichthys",0.223684210526316,17,0.736842
"75","Guiyu","Dicksonosteus",0.53030303030303,12,0.717391
"76","Guiyu","Entelognathus",0.28,18,0.697674
"77","Guiyu","Eurycaraspis",0.243589743589744,19,0.636364
"78","Guiyu","Eusthenopteron",0.640625,11,0.648148
"79","Lunaspis","Actinolepis",0.452830188679245,9,0.666667
"80","Lunaspis","Bothriolepis",0.384615384615385,10,0.763158
"81","Lunaspis","Brindabellaspis",0.405405405405405,12,0.790698
"82","Lunaspis","Buchanosteus",0.403846153846154,9,0.763158
"83","Lunaspis","Cheirolepis",0.26865671641791,16,0.75
"84","Lunaspis","Cowralepis",0.369565217391304,6,0.821429
"85","Lunaspis","Dialipina",0.220338983050847,14,0.675676
"86","Lunaspis","Diandongpetalichthys",0.48,7,0.815789
"87","Lunaspis","Dicksonosteus",0.366666666666667,11,0.674419
"88","Lunaspis","Entelognathus",0.452830188679245,7,0.638298
"89","Lunaspis","Eurycaraspis",0.56,5,0.772727
"90","Lunaspis","Eusthenopteron",0.303030303030303,12,0.761905
"91","Lunaspis","Guiyu",0.276315789473684,16,0.704545
"92","Meemannia","Actinolepis",0.244897959183673,10,0.875
"93","Meemannia","Bothriolepis",0.244444444444444,9,0.730769
"94","Meemannia","Brindabellaspis",0.1,15,0.84
"95","Meemannia","Buchanosteus",0.1875,5,0.916667
"96","Meemannia","Cheirolepis",0.210526315789474,7,0.88
"97","Meemannia","Cowralepis",0.236842105263158,6,0.653846
"98","Meemannia","Dialipina",0.6,4,0.75
"99","Meemannia","Diandongpetalichthys",0.234042553191489,9,0.740741
"100","Meemannia","Dicksonosteus",0.157894736842105,7,0.875
"101","Meemannia","Entelognathus",0.22,11,0.8
