Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,17,12,9,12,15,14,9,12,8,7,13,16,5,20,16,14,11
Lunaspis,17,0,0,16,7,9,9,15,18,9,15,17,16,11,16,24,24,21
Entelognathus,12,0,0,9,10,0,7,13,16,8,11,15,15,9,15,0,19,17
Eusthenopteron,9,16,9,0,13,18,13,15,17,15,10,20,21,8,0,11,11,11
Cowralepis,12,7,10,13,0,8,6,9,12,6,8,18,14,8,16,17,17,13
Eurycaraspis,15,9,0,18,8,0,2,12,16,8,8,13,14,13,14,18,27,0
Diandongpetalichthys,14,9,7,13,6,2,0,13,12,9,9,12,14,11,14,21,21,19
Meemannia,9,15,13,15,9,12,13,0,6,7,11,15,14,9,24,13,22,14
Dialipina,12,18,16,17,12,16,12,6,0,12,11,17,15,13,24,17,25,12
Wuttagoonaspis,8,9,8,15,6,8,9,7,12,0,9,13,10,6,18,21,21,14
Actinolepis,7,15,11,10,8,8,9,11,11,9,0,13,16,6,18,13,20,15
Romundina,13,17,15,20,18,13,12,15,17,13,13,0,15,11,18,25,29,24
Bothriolepis,16,16,15,21,14,14,14,14,15,10,16,15,0,13,15,30,25,27
Buchanosteus,5,11,9,8,8,13,11,9,13,6,6,11,13,0,19,14,13,12
Brindabellaspis,20,16,15,0,16,14,14,24,24,18,18,18,15,19,0,30,0,27
Moythomasia,16,24,0,11,17,18,21,13,17,21,13,25,30,14,30,0,21,15
Guiyu,14,24,19,11,17,27,21,22,25,21,20,29,25,13,0,21,0,24
Cheirolepis,11,21,17,11,13,0,19,14,12,14,15,24,27,12,27,15,24,0
