Sat Aug 21 16:28:57 2021    SYPA_Profile.txt

         1254974 function calls (1235868 primitive calls) in 2.694 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2026/1    0.006    0.000    2.696    2.696 {built-in method builtins.exec}
        1    0.000    0.000    2.696    2.696 SYPA_Scores.py:3(<module>)
        1    0.000    0.000    1.962    1.962 SYPA_Scores.py:82(main)
        1    0.001    0.001    1.962    1.962 SYPA_Scores.py:44(dist_matrix)
        2    0.000    0.000    1.740    0.870 /home/hallowstar/.local/lib/python3.9/site-packages/joblib/parallel.py:958(__call__)
       55    0.000    0.000    1.664    0.030 /usr/lib/python3.9/threading.py:280(wait)
      228    1.664    0.007    1.664    0.007 {method 'acquire' of '_thread.lock' objects}
        2    0.001    0.001    1.645    0.823 /home/hallowstar/.local/lib/python3.9/site-packages/joblib/parallel.py:918(retrieve)
      121    0.000    0.000    1.644    0.014 /home/hallowstar/.local/lib/python3.9/site-packages/joblib/_parallel_backends.py:537(wrap_future_result)
      121    0.001    0.000    1.644    0.014 /usr/lib/python3.9/concurrent/futures/_base.py:417(result)
   1102/8    0.004    0.000    0.737    0.092 <frozen importlib._bootstrap>:1002(_find_and_load)
   1097/8    0.003    0.000    0.737    0.092 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1048/8    0.003    0.000    0.736    0.092 <frozen importlib._bootstrap>:659(_load_unlocked)
    911/8    0.002    0.000    0.736    0.092 <frozen importlib._bootstrap_external>:849(exec_module)
   1393/8    0.001    0.000    0.734    0.092 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.711    0.711 /home/hallowstar/Documents/GrEvo/GrEvo/Code/SYPA.py:3(<module>)
   515/82    0.001    0.000    0.461    0.006 {built-in method builtins.__import__}
        1    0.000    0.000    0.403    0.403 /home/hallowstar/Documents/GrEvo/GrEvo/Code/Morphlings.py:3(<module>)
2075/1481    0.002    0.000    0.395    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    0.308    0.308 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/__init__.py:1(<module>)
        1    0.000    0.000    0.254    0.254 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/generators/__init__.py:1(<module>)
        1    0.000    0.000    0.205    0.205 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/pyplot.py:4(<module>)
        1    0.000    0.000    0.147    0.147 /home/hallowstar/.local/lib/python3.9/site-packages/pandas/__init__.py:3(<module>)
      911    0.006    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:921(get_code)
