X,variable,MAGNA
Diandongpetalichthys,Actinolepis,0.7
Moythomasia,Meemannia,0.826087
Meemannia,Cowralepis,0.653846
Eurycaraspis,Cheirolepis,0.681818
Cowralepis,Brindabellaspis,0.862069
Guiyu,Buchanosteus,0.805556
Buchanosteus,Brindabellaspis,0.828571
Eurycaraspis,Dicksonosteus,0.680851
Meemannia,Buchanosteus,0.916667
Diandongpetalichthys,Brindabellaspis,0.789474
Moythomasia,Buchanosteus,0.861111
Buchanosteus,Bothriolepis,0.595238
Romundina,Meemannia,0.869565
Moythomasia,Dicksonosteus,0.692308
Dialipina,Cheirolepis,0.735294
Moythomasia,Eurycaraspis,0.74359
Cheirolepis,Buchanosteus,0.861111
Brindabellaspis,Actinolepis,0.853659
Guiyu,Eusthenopteron,0.648148
Dialipina,Cowralepis,0.625
Dialipina,Actinolepis,0.8
Romundina,Bothriolepis,0.777778
Wuttagoonaspis,Lunaspis,0.685714
Guiyu,Actinolepis,0.8
Guiyu,Diandongpetalichthys,0.736842
Guiyu,Cheirolepis,0.66
Romundina,Buchanosteus,0.861111
Meemannia,Guiyu,0.913043
Eusthenopteron,Entelognathus,0.714286
Wuttagoonaspis,Dicksonosteus,0.793103
Eusthenopteron,Brindabellaspis,0.689655
Eusthenopteron,Diandongpetalichthys,0.675
Moythomasia,Cowralepis,0.814815
Cowralepis,Bothriolepis,0.724138
Diandongpetalichthys,Cheirolepis,0.675
Dicksonosteus,Actinolepis,0.704545
Romundina,Actinolepis,0.829268
Lunaspis,Eurycaraspis,0.772727
Wuttagoonaspis,Dialipina,0.685714
Moythomasia,Lunaspis,0.804878
Eurycaraspis,Dialipina,0.648649
Entelognathus,Dicksonosteus,0.688889
Moythomasia,Cheirolepis,0.730769
Romundina,Eurycaraspis,0.777778
Moythomasia,Guiyu,0.61194
Wuttagoonaspis,Diandongpetalichthys,0.589744
Eusthenopteron,Cheirolepis,0.618182
Romundina,Dialipina,0.794118
Wuttagoonaspis,Cheirolepis,0.65625
Lunaspis,Cowralepis,0.821429
Wuttagoonaspis,Buchanosteus,0.694444
Romundina,Diandongpetalichthys,0.783784
Lunaspis,Buchanosteus,0.763158
Eusthenopteron,Buchanosteus,0.882353
Romundina,Cowralepis,0.814815
Diandongpetalichthys,Bothriolepis,0.658537
Meemannia,Actinolepis,0.875
Eurycaraspis,Diandongpetalichthys,0.837838
Wuttagoonaspis,Eurycaraspis,0.705882
Romundina,Cheirolepis,0.690909
Dicksonosteus,Buchanosteus,0.885714
Wuttagoonaspis,Actinolepis,0.862069
Cheirolepis,Bothriolepis,0.666667
Entelognathus,Buchanosteus,0.888889
Dicksonosteus,Bothriolepis,0.685714
Meemannia,Diandongpetalichthys,0.740741
Lunaspis,Diandongpetalichthys,0.815789
Dicksonosteus,Cowralepis,0.730769
Moythomasia,Eusthenopteron,0.814815
Eusthenopteron,Dialipina,0.702703
Dialipina,Buchanosteus,0.736842
Lunaspis,Cheirolepis,0.75
Moythomasia,Bothriolepis,0.8
Wuttagoonaspis,Moythomasia,0.78125
Romundina,Lunaspis,0.704545
Eurycaraspis,Actinolepis,0.651163
Lunaspis,Dicksonosteus,0.674419
