,size,Middle,eyes,body,left,right
1,1,1000,0,0,0,0
2,2,1000,0,0,0,0
3,3,1000,0,0,0,0
4,2,0,0,0,1,0
5,2,0,0,0,0,1
6,2,0,0,0,1,0
7,3,0,0,0,1,0
8,3,0,0,0,0,1
9,2,0,0,0,0,1
10,1,0,0,0,1,0
11,2,0,0,0,1,0
12,2,0,0,0,0,1
13,1,0,0,0,0,1
14,2,0,0,0,1,0
15,1,0,0,0,1,0
16,1,0,0,0,0,1
17,2,0,0,0,0,1
18,2,0,0,0,1,0
19,2,0,0,0,0,1
20,1,0,1000,0,1,0
21,1,0,1000,0,0,1
22,3,1000,0,1000,0,0
