,size order,paired,eyes,body,left,right
1,1,1000,0,0,0,0
2,2,1000,0,0,0,0
3,3,1000,0,0,0,0
4,3,1000,0,0,0,0
5r,2,0,0,0,0,1
5l,2,0,0,0,1,0
7r,2,0,0,0,0,1
7l,2,0,0,0,1,0
9r,2,0,0,0,0,1
9l,2,0,0,0,1,0
10r,2,0,0,0,0,1
10l,2,0,0,0,1,0
13r,1,0,0,0,0,1
13l,1,0,0,0,1,0
14r,2,0,0,0,0,1
14l,2,0,0,0,1,0
17r,2,0,0,0,0,1
17l,2,0,0,0,1,0
19,2,1000,0,1000,0,0
