,size order,paired,eyes,body,left,right
1,2,1000,0,0,0,0
2,2,1000,0,0,0,0
3,3,1000,0,0,0,0
4l,3,0,0,0,1,0
4r,3,0,0,0,0,1
6l,3,0,0,0,1,0
6r,3,0,0,0,0,1
8l,3,0,0,0,1,0
8r,3,0,0,0,0,1
9l,2,0,0,0,1,0
9r,2,0,0,0,0,1
12l,2,0,0,0,1,0
12r,2,0,0,0,0,1
14l,3,0,0,0,1,0
14r,3,0,0,0,0,1
16,3,1000,0,1000,0,0
18l,1,0,1000,0,1,0
18r,1,0,1000,0,0,1
