,size oRdeR,Middle,eyes,body,left,Right
1,2,1,0,0,0,0
2,2,1,0,0,0,0
3l,1,0,0,0,1,0
3R,1,0,0,0,0,1
5l,2,0,1,0,1,0
5R,2,0,1,0,0,1
7l,2,0,0,0,1,0
8l,2,0,0,0,1,0
9l,2,0,0,0,1,0
9R,2,0,0,0,0,1
8R,2,0,0,0,0,1
7R,2,0,0,0,0,1
13l,1,0,0,0,1,0
14l,2,0,0,0,1,0
15l,2,0,0,0,1,0
16l,3,0,0,0,1,0
16R,3,0,0,0,0,1
15R,2,0,0,0,0,1
14R,2,0,0,0,0,1
13R,1,0,0,0,0,1
21l,1,0,0,0,1,0
22l,3,0,0,0,1,0
22R,3,0,0,0,0,1
21R,1,0,0,0,0,1
25,3,1,0,1,0,0
26,3,1,0,0,0,0
