,size order,paired,eyes,body,left,right
1,2,1000,0,0,0,0
2,2,1000,0,0,0,0
3,2,1000,0,0,0,0
4,3,1000,0,0,0,0
5,3,1000,0,0,0,0
6l,2,0,0,0,1,0
6r,2,0,0,0,0,1
8l,2,0,0,0,1,0
8r,2,0,0,0,0,1
9r,2,0,0,0,0,1
9l,2,0,0,0,1,0
12l,2,0,0,0,1,0
12r,2,0,0,0,0,1
14l,2,0,0,0,1,0
14r,2,0,0,0,0,1
16l,2,0,0,0,1,0
16r,2,0,0,0,0,1
17l,2,0,0,0,1,0
17r,2,0,0,0,0,1
20,3,1000,0,1000,0,0
