         836326 function calls (822192 primitive calls) in 1.019 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
      164    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
      165    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       34    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
       31    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
   1212/2    0.005    0.000    0.978    0.489 <frozen importlib._bootstrap>:1002(_find_and_load)
   238/13    0.000    0.000    0.099    0.008 <frozen importlib._bootstrap>:1018(_gcd_import)
 1357/684    0.004    0.000    0.667    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     2286    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:112(release)
     1212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
     1212    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1212    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:160(__exit__)
     2286    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     1184    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:185(cb)
     1074    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   1327/3    0.001    0.000    0.977    0.326 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     9463    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      765    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1021    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
     1691    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:385(cached)
     1957    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:398(parent)
      931    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      931    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  931/927    0.002    0.000    0.239    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1184    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
     13/2    0.000    0.000    0.062    0.031 <frozen importlib._bootstrap>:622(_load_backward_compatible)
    944/3    0.004    0.000    0.977    0.326 <frozen importlib._bootstrap>:659(_load_unlocked)
     1002    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      998    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
     2286    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
     3080    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
     3080    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
     1002    0.006    0.000    0.070    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    999/2    0.003    0.000    0.978    0.489 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      774    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
