,size order,middle,eyes,body,left,right
4,3,1000,0,0,0,0
5,3,1000,0,0,0,0
L6,2,0,1000,0,1,0
R6,2,0,1000,0,0,1
L8,2,0,0,0,1,0
L9,2,0,0,0,1,0
R9,2,0,0,0,0,1
R8,2,0,0,0,0,1
L12,2,0,0,0,1,0
R12,2,0,0,0,0,1
L14,2,0,0,0,1,0
R14,2,0,0,0,0,1
L16,2,0,0,0,1,0
L17,2,0,0,0,1,0
R17,2,0,0,0,0,1
R16,2,0,0,0,0,1
body,3,1000,0,1000,0,0
