,Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,1.0,0.4,0.43137254901960786,0.6730769230769231,0.2653061224489796,0.2413793103448276,0.2765957446808511,0.1956521739130435,0.24444444444444444,0.3111111111111111,0.5531914893617021,0.49056603773584906,0.3023255813953488,0.6888888888888889,0.2676056338028169,0.417910447761194,0.532258064516129,0.5833333333333334
Lunaspis,0.4,1.0,0.631578947368421,0.38461538461538464,0.37209302325581395,0.4583333333333333,0.4878048780487805,0.2,0.2564102564102564,0.4878048780487805,0.48,0.35714285714285715,0.4878048780487805,0.3695652173913043,0.3076923076923077,0.24285714285714285,0.25333333333333335,0.2909090909090909
Entelognathus,0.43137254901960786,0.631578947368421,1.0,0.4074074074074074,0.45,0.4,0.5116279069767442,0.23809523809523808,0.2727272727272727,0.5,0.5238095238095238,0.2545454545454545,0.4473684210526316,0.44680851063829785,0.3194444444444444,0.3230769230769231,0.31666666666666665,0.32608695652173914
Eusthenopteron,0.6730769230769231,0.38461538461538464,0.4074074074074074,1.0,0.19148936170212766,0.19607843137254902,0.23404255319148937,0.18,0.19148936170212766,0.24489795918367346,0.40425531914893614,0.48,0.2765957446808511,0.574468085106383,0.32098765432098764,0.5,0.6379310344827587,0.5294117647058824
Cowralepis,0.2653061224489796,0.37209302325581395,0.45,0.19148936170212766,1.0,0.5,0.5277777777777778,0.2692307692307692,0.3333333333333333,0.5,0.35,0.21153846153846154,0.4411764705882353,0.38235294117647056,0.2537313432835821,0.1,0.16666666666666666,0.10869565217391304
Eurycaraspis,0.2413793103448276,0.4583333333333333,0.4,0.19607843137254902,0.5,1.0,0.6444444444444445,0.15,0.22,0.5,0.40816326530612246,0.3448275862068966,0.36585365853658536,0.4090909090909091,0.3116883116883117,0.23529411764705882,0.2,0.29310344827586204
Diandongpetalichthys,0.2765957446808511,0.4878048780487805,0.5116279069767442,0.23404255319148937,0.5277777777777778,0.6444444444444445,1.0,0.25,0.26,0.5882352941176471,0.4186046511627907,0.3673469387755102,0.5,0.375,0.28,0.09090909090909091,0.2463768115942029,0.2
Meemannia,0.1956521739130435,0.2,0.23809523809523808,0.18,0.2692307692307692,0.15,0.25,1.0,0.5135135135135135,0.4666666666666667,0.21951219512195122,0.27450980392156865,0.2972972972972973,0.24324324324324326,0.11594202898550725,0.21875,0.14754098360655737,0.2608695652173913
Dialipina,0.24444444444444444,0.2564102564102564,0.2727272727272727,0.19148936170212766,0.3333333333333333,0.22,0.26,0.5135135135135135,1.0,0.45714285714285713,0.375,0.3157894736842105,0.42857142857142855,0.2857142857142857,0.11267605633802817,0.22580645161290322,0.11475409836065574,0.21739130434782608
Wuttagoonaspis,0.3111111111111111,0.4878048780487805,0.5,0.24489795918367346,0.5,0.5,0.5882352941176471,0.4666666666666667,0.45714285714285713,1.0,0.45,0.3404255319148936,0.45,0.36585365853658536,0.25757575757575757,0.08333333333333333,0.2,0.20754716981132076
Actinolepis,0.5531914893617021,0.48,0.5238095238095238,0.40425531914893614,0.35,0.40816326530612246,0.4186046511627907,0.21951219512195122,0.375,0.45,1.0,0.3148148148148148,0.358974358974359,0.5263157894736842,0.2916666666666667,0.3064516129032258,0.3333333333333333,0.3076923076923077
Romundina,0.49056603773584906,0.35714285714285715,0.2545454545454545,0.48,0.21153846153846154,0.3448275862068966,0.3673469387755102,0.27450980392156865,0.3157894736842105,0.3404255319148936,0.3148148148148148,1.0,0.37254901960784315,0.49019607843137253,0.3333333333333333,0.34375,0.38333333333333336,0.3584905660377358
Bothriolepis,0.3023255813953488,0.4878048780487805,0.4473684210526316,0.2765957446808511,0.4411764705882353,0.36585365853658536,0.5,0.2972972972972973,0.42857142857142855,0.45,0.358974358974359,0.37254901960784315,1.0,0.38461538461538464,0.22535211267605634,0.13333333333333333,0.22413793103448276,0.21568627450980393
Buchanosteus,0.6888888888888889,0.3695652173913043,0.44680851063829785,0.574468085106383,0.38235294117647056,0.4090909090909091,0.375,0.24324324324324326,0.2857142857142857,0.36585365853658536,0.5263157894736842,0.49019607843137253,0.38461538461538464,1.0,0.323943661971831,0.3333333333333333,0.46774193548387094,0.4782608695652174
Brindabellaspis,0.2676056338028169,0.3076923076923077,0.3194444444444444,0.32098765432098764,0.2537313432835821,0.3116883116883117,0.28,0.11594202898550725,0.11267605633802817,0.25757575757575757,0.2916666666666667,0.3333333333333333,0.22535211267605634,0.323943661971831,1.0,0.2318840579710145,0.375,0.18181818181818182
Moythomasia,0.417910447761194,0.24285714285714285,0.3230769230769231,0.5,0.1,0.23529411764705882,0.09090909090909091,0.21875,0.22580645161290322,0.08333333333333333,0.3064516129032258,0.34375,0.13333333333333333,0.3333333333333333,0.2318840579710145,1.0,0.4090909090909091,0.3611111111111111
Guiyu,0.532258064516129,0.25333333333333335,0.31666666666666665,0.6379310344827587,0.16666666666666666,0.2,0.2463768115942029,0.14754098360655737,0.11475409836065574,0.2,0.3333333333333333,0.38333333333333336,0.22413793103448276,0.46774193548387094,0.375,0.4090909090909091,1.0,0.46153846153846156
Cheirolepis,0.5833333333333334,0.2909090909090909,0.32608695652173914,0.5294117647058824,0.10869565217391304,0.29310344827586204,0.2,0.2608695652173913,0.21739130434782608,0.20754716981132076,0.3076923076923077,0.3584905660377358,0.21568627450980393,0.4782608695652174,0.18181818181818182,0.3611111111111111,0.46153846153846156,1.0
