Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,11,11,10,9,9,10,7,14,5,6,8,10,3,16,9,15,10
Lunaspis,11,0,7,11,6,6,7,9,13,10,10,10,11,10,13,15,18,11
Entelognathus,11,7,0,9,8,7,5,11,12,7,8,14,13,7,9,13,17,9
Eusthenopteron,10,11,9,0,9,11,8,12,12,11,8,15,14,7,19,7,13,9
Cowralepis,9,6,8,9,0,5,5,6,8,0,5,8,9,6,11,10,12,9
Eurycaraspis,9,6,7,11,5,0,2,7,10,8,6,8,10,10,10,12,16,10
Diandongpetalichthys,10,7,5,8,5,2,0,9,8,8,7,7,10,6,8,16,17,12
Meemannia,7,9,11,12,6,7,9,0,6,5,5,0,10,5,15,8,12,7
Dialipina,14,13,12,12,8,10,8,6,0,8,7,14,9,10,16,11,18,11
Wuttagoonaspis,5,10,7,11,0,8,8,5,8,0,8,7,6,6,11,15,14,13
Actinolepis,6,10,8,8,5,6,7,5,7,8,0,7,9,3,16,8,13,10
Romundina,8,10,14,15,8,8,7,0,14,7,7,0,7,6,11,12,19,15
Bothriolepis,10,11,13,14,9,10,10,10,9,6,9,7,0,10,11,16,17,19
Buchanosteus,3,10,7,7,6,10,6,5,10,6,3,6,10,0,13,8,11,7
Brindabellaspis,16,13,9,19,11,10,8,15,16,11,16,11,11,13,0,23,27,17
Moythomasia,9,15,13,7,10,12,16,8,11,15,8,12,16,8,23,0,16,10
Guiyu,15,18,17,13,12,16,17,12,18,14,13,19,17,11,27,16,0,19
Cheirolepis,10,11,9,9,9,10,12,7,11,13,10,15,19,7,17,10,19,0
