Romundina Meemannia 13
Dialipina Dicksonosteus 16
Actinolepis Cowralepis 8
Entelognathus Bothriolepis 13
Eusthenopteron Bothriolepis 17
Romundina Bothriolepis 14
Dialipina Brindabellaspis 16
Diandongpetalichthys Dicksonosteus 11
Eusthenopteron Meemannia 12
Dicksonosteus Actinolepis 6
Actinolepis Bothriolepis 9
Entelognathus Brindabellaspis 10
Moythomasia Meemannia 8
Entelognathus Eurycaraspis 7
Cheirolepis Eurycaraspis 12
Meemannia Bothriolepis 11
Diandongpetalichthys Eusthenopteron 8
Dialipina Actinolepis 7
Lunaspis Eurycaraspis 6
Actinolepis Meemannia 5
Wuttagoonaspis Buchanosteus 6
Entelognathus Dicksonosteus 12
Eusthenopteron Buchanosteus 7
Dicksonosteus Wuttagoonaspis 5
Meemannia Eurycaraspis 7
Diandongpetalichthys Entelognathus 5
Cheirolepis Dialipina 11
Dialipina Bothriolepis 9
Moythomasia Actinolepis 8
Entelognathus Wuttagoonaspis 7
Cheirolepis Moythomasia 10
Dicksonosteus Guiyu 16
Entelognathus Buchanosteus 8
Cheirolepis Dicksonosteus 13
Lunaspis Actinolepis 12
Wuttagoonaspis Bothriolepis 6
Entelognathus Dialipina 14
Eusthenopteron Wuttagoonaspis 11
Wuttagoonaspis Eurycaraspis 8
Diandongpetalichthys Eurycaraspis 2
Cheirolepis Eusthenopteron 11
Dialipina Cowralepis 9
Dicksonosteus Buchanosteus 3
Moythomasia Buchanosteus 8
Entelognathus Cheirolepis 10
Dialipina Moythomasia 14
Meemannia Cowralepis 6
Bothriolepis Cowralepis 9
Romundina Eusthenopteron 15
Lunaspis Guiyu 20
Romundina Eurycaraspis 8
Dialipina Guiyu 19
Entelognathus Actinolepis 8
Cheirolepis Wuttagoonaspis 13
Dicksonosteus Bothriolepis 13
Cowralepis Eurycaraspis 5
Romundina Wuttagoonaspis 7
Eusthenopteron Moythomasia 8
Dicksonosteus Moythomasia 13
Cowralepis Buchanosteus 6
Diandongpetalichthys Guiyu 17
Moythomasia Guiyu 16
Diandongpetalichthys Bothriolepis 10
Eusthenopteron Lunaspis 13
Actinolepis Eurycaraspis 6
Eurycaraspis Buchanosteus 10
Diandongpetalichthys Cheirolepis 12
Dialipina Buchanosteus 10
Moythomasia Cowralepis 14
Romundina Guiyu 19
Bothriolepis Eurycaraspis 11
Romundina Buchanosteus 7
Eusthenopteron Eurycaraspis 11
Bothriolepis Buchanosteus 10
Romundina Moythomasia 15
Moythomasia Wuttagoonaspis 16
Romundina Cowralepis 10
Eusthenopteron Cowralepis 10
Actinolepis Guiyu 13
Diandongpetalichthys Lunaspis 7
Cheirolepis Actinolepis 10
Lunaspis Moythomasia 18
Diandongpetalichthys Dialipina 8
Cheirolepis Meemannia 7
Dialipina Eurycaraspis 10
Meemannia Guiyu 13
Entelognathus Cowralepis 8
Cheirolepis Cowralepis 9
Lunaspis Brindabellaspis 13
Romundina Lunaspis 11
Dialipina Lunaspis 14
Moythomasia Eurycaraspis 12
Diandongpetalichthys Actinolepis 7
Eusthenopteron Dicksonosteus 10
Lunaspis Bothriolepis 13
Brindabellaspis Bothriolepis 13
Diandongpetalichthys Meemannia 9
Cheirolepis Bothriolepis 21
Guiyu Cowralepis 12
Romundina Entelognathus 14
Dialipina Wuttagoonaspis 8
Lunaspis Buchanosteus 10
Brindabellaspis Cowralepis 11
Romundina Actinolepis 8
Eusthenopteron Actinolepis 8
Dicksonosteus Eurycaraspis 9
Guiyu Buchanosteus 11
Romundina Brindabellaspis 11
Moythomasia Bothriolepis 16
Diandongpetalichthys Wuttagoonaspis 8
Cheirolepis Brindabellaspis 19
Diandongpetalichthys Cowralepis 5
Cheirolepis Lunaspis 14
Meemannia Brindabellaspis 15
Entelognathus Eusthenopteron 9
Dialipina Meemannia 7
Lunaspis Dicksonosteus 14
Wuttagoonaspis Guiyu 14
Romundina Dialipina 14
Lunaspis Meemannia 9
Meemannia Wuttagoonaspis 5
Brindabellaspis Eurycaraspis 10
Romundina Cheirolepis 15
Dicksonosteus Meemannia 7
Brindabellaspis Wuttagoonaspis 12
Diandongpetalichthys Brindabellaspis 8
Lunaspis Wuttagoonaspis 10
Actinolepis Brindabellaspis 18
Entelognathus Meemannia 11
Cheirolepis Guiyu 20
Meemannia Buchanosteus 5
Bothriolepis Guiyu 17
Entelognathus Moythomasia 13
Moythomasia Brindabellaspis 24
Romundina Diandongpetalichthys 8
Eusthenopteron Guiyu 13
Actinolepis Wuttagoonaspis 8
Guiyu Eurycaraspis 22
Romundina Dicksonosteus 8
Eusthenopteron Brindabellaspis 19
Entelognathus Guiyu 17
Dicksonosteus Cowralepis 9
Brindabellaspis Guiyu 27
Actinolepis Buchanosteus 5
Lunaspis Cowralepis 7
Diandongpetalichthys Buchanosteus 7
Entelognathus Lunaspis 8
Cheirolepis Buchanosteus 9
Eusthenopteron Dialipina 12
Romundina Meemannia 11
Diandongpetalichthys Moythomasia 15
Brindabellaspis Buchanosteus 12
Dicksonosteus Brindabellaspis 15
