Tue Jul 20 19:06:30 2021    profile.txt

         27953028 function calls (27862936 primitive calls) in 12.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7260    0.047    0.000    0.920    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Glob.py:54(user_aln)
      132    0.000    0.000    0.799    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/pyplot.py:2530(gca)
      132    0.000    0.000    0.798    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/figure.py:1499(gca)
       33    0.000    0.000    0.797    0.024 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/figure.py:655(add_subplot)
       33    0.000    0.000    0.795    0.024 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_subplots.py:16(__init__)
       33    0.000    0.000    0.781    0.024 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/_api/deprecation.py:459(wrapper)
       33    0.002    0.000    0.781    0.024 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:554(__init__)
   1031/6    0.004    0.000    0.714    0.119 <frozen importlib._bootstrap>:1002(_find_and_load)
   1026/6    0.003    0.000    0.714    0.119 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1314/6    0.001    0.000    0.714    0.119 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    985/6    0.003    0.000    0.714    0.119 <frozen importlib._bootstrap>:659(_load_unlocked)
    852/6    0.002    0.000    0.714    0.119 <frozen importlib._bootstrap_external>:849(exec_module)
   645904    0.224    0.000    0.687    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/graph.py:1365(degree)
    15461    0.074    0.000    0.622    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/shortest_paths/unweighted.py:18(single_source_shortest_path_length)
      363    0.001    0.000    0.602    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:2049(_get_tick)
      363    0.005    0.000    0.601    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:419(__init__)
     1512    0.034    0.000    0.593    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/text.py:665(draw)
       66    0.001    0.000    0.587    0.009 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:2781(_update_title_position)
       66    0.001    0.000    0.584    0.009 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:1068(get_tightbbox)
      396    0.003    0.000    0.566    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:828(set_tick_params)
   645836    0.266    0.000    0.560    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/reportviews.py:351(__call__)
       33    0.002    0.000    0.559    0.017 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:1172(cla)
      132    0.006    0.000    0.558    0.004 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:1018(_update_ticks)
   240342    0.255    0.000    0.534    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/shortest_paths/unweighted.py:62(_single_shortest_path_length)
     6732    0.008    0.000    0.530    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/artist.py:1152(set)
   645904    0.354    0.000    0.463    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/reportviews.py:344(__init__)
   502/77    0.001    0.000    0.449    0.006 {built-in method builtins.__import__}
  3717953    0.446    0.000    0.446    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/reportviews.py:186(__getitem__)
  3546176    0.429    0.000    0.429    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/reportviews.py:176(__init__)
      132    0.001    0.000    0.411    0.003 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:1347(get_major_ticks)
      462    0.015    0.000    0.409    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:57(__init__)
        1    0.000    0.000    0.400    0.400 /home/hallowstar/Documents/Masters/GrEv2/Code/Glob.py:3(<module>)
        1    0.000    0.000    0.400    0.400 /home/hallowstar/Documents/Masters/GrEv2/Code/Morphlings.py:3(<module>)
1686/1101    0.002    0.000    0.388    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  198/132    0.000    0.000    0.368    0.003 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:596(__get__)
       66    0.000    0.000    0.363    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:3025(grid)
      132    0.001    0.000    0.363    0.003 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:1373(grid)
     7260    0.144    0.000    0.358    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Glob.py:17(S3)
    20922    0.010    0.000    0.333    0.000 /usr/lib/python3.9/inspect.py:3057(bind)
    20922    0.232    0.000    0.323    0.000 /usr/lib/python3.9/inspect.py:2926(_bind)
        1    0.000    0.000    0.310    0.310 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/__init__.py:1(<module>)
   644896    0.232    0.000    0.294    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/reportviews.py:445(__getitem__)
      858    0.007    0.000    0.286    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:352(_apply_params)
40119/32645    0.060    0.000    0.283    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      408    0.012    0.000    0.268    0.001 /home/hallowstar/Documents/Masters/GrEv2/Code/Morphlings.py:195(mutator)
        1    0.000    0.000    0.255    0.255 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/generators/__init__.py:1(<module>)
       33    0.001    0.000    0.246    0.007 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/pyplot.py:675(figure)
       33    0.000    0.000    0.244    0.007 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/pyplot.py:313(new_figure_manager)
       33    0.000    0.000    0.244    0.007 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backend_bases.py:3538(new_figure_manager)
     1386    0.021    0.000    0.235    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/lines.py:276(__init__)
     1314    0.010    0.000    0.234    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:190(draw_text)
