boop1 boop2 pars
Romundina Eurycaraspis 12
Entelognathus Wuttagoonaspis 8
Cheirolepis Dialipina 11
Eusthenopteron Meemannia 12
Dialipina Brindabellaspis 15
Meemannia Guiyu 12
Romundina Entelognathus 13
Entelognathus Cheirolepis 12
Cheirolepis Bothriolepis 19
Lunaspis Guiyu 19
Wuttagoonaspis Cowralepis 7
Bothriolepis Cowralepis 11
Romundina Lunaspis 9
Entelognathus Actinolepis 10
Cheirolepis Moythomasia 8
Eusthenopteron Bothriolepis 14
Moythomasia Eurycaraspis 14
Romundina Eusthenopteron 16
Entelognathus Eurycaraspis 9
Eusthenopteron Moythomasia 10
Dialipina Dicksonosteus 10
Lunaspis Buchanosteus 10
Moythomasia Bothriolepis 17
Cowralepis Buchanosteus 7
Romundina Guiyu 24
Eusthenopteron Actinolepis 10
Dialipina Actinolepis 8
Lunaspis Dicksonosteus 14
Moythomasia Guiyu 19
Cowralepis Eurycaraspis 5
Romundina Buchanosteus 7
Diandongpetalichthys Wuttagoonaspis 9
Entelognathus Bothriolepis 14
Eusthenopteron Lunaspis 12
Dialipina Guiyu 17
Actinolepis Brindabellaspis 16
Diandongpetalichthys Cheirolepis 11
Entelognathus Buchanosteus 9
Eusthenopteron Dialipina 13
Dialipina Meemannia 7
Lunaspis Moythomasia 15
Meemannia Bothriolepis 12
Wuttagoonaspis Eurycaraspis 8
Bothriolepis Buchanosteus 11
Diandongpetalichthys Moythomasia 11
Cheirolepis Buchanosteus 8
Dialipina Moythomasia 14
Lunaspis Cowralepis 7
Dicksonosteus Bothriolepis 10
Actinolepis Guiyu 10
Bothriolepis Eurycaraspis 13
Romundina Brindabellaspis 10
Cheirolepis Eurycaraspis 11
Dialipina Bothriolepis 10
Dicksonosteus Brindabellaspis 14
Eurycaraspis Buchanosteus 11
Diandongpetalichthys Entelognathus 8
Diandongpetalichthys Meemannia 10
Entelognathus Moythomasia 14
Eusthenopteron Buchanosteus 9
Dialipina Buchanosteus 10
Dicksonosteus Moythomasia 14
Actinolepis Bothriolepis 12
Wuttagoonaspis Guiyu 15
Romundina Actinolepis 7
Diandongpetalichthys Bothriolepis 11
Cheirolepis Eusthenopteron 14
Eusthenopteron Eurycaraspis 12
Moythomasia Wuttagoonaspis 17
Brindabellaspis Cowralepis 13
Diandongpetalichthys Dialipina 10
Diandongpetalichthys Actinolepis 6
Entelognathus Brindabellaspis 10
Lunaspis Eurycaraspis 7
Dicksonosteus Buchanosteus 3
Moythomasia Cowralepis 11
Guiyu Buchanosteus 13
Romundina Meemannia 11
Entelognathus Lunaspis 8
Cheirolepis Lunaspis 17
Lunaspis Wuttagoonaspis 11
Dicksonosteus Eurycaraspis 11
Actinolepis Cowralepis 8
Brindabellaspis Eurycaraspis 13
Romundina Cheirolepis 22
Cheirolepis Brindabellaspis 19
Actinolepis Buchanosteus 5
Brindabellaspis Bothriolepis 15
Diandongpetalichthys Eusthenopteron 11
Diandongpetalichthys Buchanosteus 10
Entelognathus Cowralepis 9
Cheirolepis Guiyu 21
Lunaspis Actinolepis 9
Dicksonosteus Cowralepis 9
Actinolepis Wuttagoonaspis 9
Meemannia Buchanosteus 5
Brindabellaspis Buchanosteus 14
Romundina Dicksonosteus 8
Diandongpetalichthys Guiyu 17
Eusthenopteron Cowralepis 9
Moythomasia Buchanosteus 10
Brindabellaspis Wuttagoonaspis 13
Diandongpetalichthys Lunaspis 9
Diandongpetalichthys Brindabellaspis 8
Cheirolepis Cowralepis 11
Dialipina Cowralepis 11
Dicksonosteus Actinolepis 7
Dicksonosteus Guiyu 12
Meemannia Brindabellaspis 17
Romundina Moythomasia 16
Eusthenopteron Dicksonosteus 14
Dialipina Wuttagoonaspis 8
Lunaspis Bothriolepis 13
Moythomasia Brindabellaspis 21
Romundina Diandongpetalichthys 9
Entelognathus Meemannia 11
Cheirolepis Dicksonosteus 11
Eusthenopteron Wuttagoonaspis 11
Lunaspis Brindabellaspis 12
Meemannia Eurycaraspis 10
Bothriolepis Guiyu 21
Romundina Cowralepis 10
Entelognathus Dicksonosteus 13
Cheirolepis Wuttagoonaspis 13
Eusthenopteron Guiyu 15
Dicksonosteus Meemannia 7
Moythomasia Actinolepis 8
Actinolepis Eurycaraspis 8
Wuttagoonaspis Buchanosteus 7
Guiyu Cowralepis 12
Romundina Dialipina 12
Entelognathus Guiyu 21
Dialipina Eurycaraspis 11
Moythomasia Meemannia 8
Meemannia Wuttagoonaspis 5
Wuttagoonaspis Bothriolepis 7
Guiyu Eurycaraspis 21
