Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,18,11,7,10,17,18,15,16,9,7,13,20,7,23,14,12,13
Lunaspis,18,0,10,16,6,6,7,16,16,6,12,16,12,12,15,22,20,19
Entelognathus,11,10,0,11,11,13,8,13,13,6,11,14,16,10,17,22,20,16
Eusthenopteron,7,16,11,0,16,19,15,24,19,16,12,22,19,8,22,12,12,17
Cowralepis,10,6,11,16,0,7,7,10,13,7,13,15,12,9,17,22,22,15
Eurycaraspis,17,6,13,19,7,0,5,13,15,8,11,14,14,12,19,28,24,20
Diandongpetalichthys,18,7,8,15,7,5,0,11,13,9,9,10,12,14,13,20,23,20
Meemannia,15,16,13,24,10,13,11,0,4,10,14,15,13,11,25,12,22,10
Dialipina,16,16,13,19,13,15,13,4,0,11,16,16,19,13,24,19,23,18
Wuttagoonaspis,9,6,6,16,7,8,9,10,11,0,9,14,13,10,20,21,17,20
Actinolepis,7,12,11,12,13,11,9,14,16,9,0,9,15,10,20,21,18,19
Romundina,13,16,14,22,15,14,10,15,16,14,9,0,17,13,19,24,23,21
Bothriolepis,20,12,16,19,12,14,12,13,19,13,15,17,0,16,20,30,25,25
Buchanosteus,7,12,10,8,9,12,14,11,13,10,10,13,16,0,23,15,10,15
Brindabellaspis,23,15,17,22,17,19,13,25,24,20,20,19,20,23,0,26,25,22
Moythomasia,14,22,22,12,22,28,20,12,19,21,21,24,30,15,26,0,22,17
Guiyu,12,20,20,12,22,24,23,22,23,17,18,23,25,10,25,22,0,19
Cheirolepis,13,19,16,17,15,20,20,10,18,20,19,21,25,15,22,17,19,0
