Dicksonosteus,Lunaspis,Entelognathus,Eusthenopteron,Cowralepis,Eurycaraspis,Diandongpetalichthys,Meemannia,Dialipina,Wuttagoonaspis,Actinolepis,Romundina,Bothriolepis,Buchanosteus,Brindabellaspis,Moythomasia,Guiyu,Cheirolepis
Dicksonosteus,0,11,12,10,9,13,11,7,15,5,7,7,12,5,13,9,13,11
Lunaspis,11,0,7,13,7,6,7,9,14,10,9,11,10,9,13,15,16,16
Entelognathus,12,7,0,9,8,8,5,11,12,11,8,13,11,8,11,13,18,12
Eusthenopteron,10,13,9,0,9,11,8,12,12,14,8,17,15,8,18,8,13,11
Cowralepis,9,7,8,9,0,5,5,6,9,0,7,8,10,6,11,0,11,10
Eurycaraspis,13,6,8,11,5,0,2,7,11,8,7,11,11,10,9,10,19,12
Diandongpetalichthys,11,7,5,8,5,2,0,9,9,8,7,7,9,8,9,17,17,12
Meemannia,7,9,11,12,6,7,9,0,7,5,10,11,9,5,15,8,11,7
Dialipina,15,14,12,12,9,11,9,7,0,8,7,12,10,10,18,10,17,11
Wuttagoonaspis,5,10,11,14,0,8,8,5,8,0,8,8,7,6,12,14,14,13
Actinolepis,7,9,8,8,7,7,7,10,7,8,0,8,9,3,13,8,10,13
Romundina,7,11,13,17,8,11,7,11,12,8,8,0,8,8,13,15,23,19
Bothriolepis,12,10,11,15,10,11,9,9,10,7,9,8,0,10,13,17,16,18
Buchanosteus,5,9,8,8,6,10,8,5,10,6,3,8,10,0,13,9,12,7
Brindabellaspis,13,13,11,18,11,9,9,15,18,12,13,13,13,13,0,22,32,17
Moythomasia,9,15,13,8,0,10,17,8,10,14,8,15,17,9,22,0,17,8
Guiyu,13,16,18,13,11,19,17,11,17,14,10,23,16,12,32,17,0,21
Cheirolepis,11,16,12,11,10,12,12,7,11,13,13,19,18,7,17,8,21,0
