,0,1,2
142,Lunaspis,Diandongpetalichthys,0.658537
143,Dicksonosteus,Cowralepis,0.68
144,Moythomasia,Eusthenopteron,0.619048
145,Eusthenopteron,Dialipina,0.722222
146,Dialipina,Buchanosteus,0.641026
147,Lunaspis,Cheirolepis,0.681818
148,Moythomasia,Bothriolepis,0.621622
149,Wuttagoonaspis,Moythomasia,0.8
150,Romundina,Lunaspis,0.673913
151,Eurycaraspis,Actinolepis,0.595745
152,Lunaspis,Dicksonosteus,0.571429
