character size tissue_type homolog
body 5 body 1
26 2 tess 0
2 2 tess 0
1 2 tess 0
27 1 duct 0
L9 2 tess 0
L3 2 tess 0
L5 2 orb 2
L8 2 tess 0
L15 2 tess 0
L16 3 tess 0
L22 2 tess 0
L23 1 duct 0
R9 2 tess 0
R3 2 tess 0
R5 2 orb 3
R8 2 tess 0
R15 2 tess 0
R16 3 tess 0
R22 2 tess 0
R23 1 duct 0
