character size tissue_type homolog
140 5 body 1
20 3 tess 0
60 1 duct 0
71 3 orb 2
51 3 tess 0
101 3 tess 0
131 1 tess 0
121 1 tess 0
111 2 tess 0
91 1 tess 0
81 2 tess 0
31 3 tess 0
11 1 tess 0
41 1 duct 0
72 3 orb 3
52 3 tess 0
102 3 tess 0
132 1 tess 0
122 1 tess 0
112 2 tess 0
92 1 tess 0
82 2 tess 0
32 3 tess 0
12 1 tess 0
42 1 duct 0
