character size tissue_type homolog
body 5 body 1
1 1 tess 0
2 2 tess 0
3 3 tess 0
L8 3 tess 0
L21 1 orb 2
L12 2 tess 0
L16 1 tess 0
L19 3 tess 0
L20 1 duct 0
R8 3 tess 0
R21 1 orb 3
R12 2 tess 0
R16 1 tess 0
R19 3 tess 0
R20 1 duct 0
