character size tissue_type homolog
body 5 body 1
4 3 tess 0
2 2 tess 0
1 1 tess 0
L18 1 tess 0
L7 2 tess 0
L3 2 tess 0
L10 1 tess 0
L14 1 tess 0
L9 2 tess 0
L17 2 tess 0
R18 1 tess 0
R7 2 tess 0
R3 2 tess 0
R10 1 tess 0
R14 1 tess 0
R9 2 tess 0
R17 2 tess 0
