character size tissue_type homolog
200 5 body 1
50 2 tess 0
40 2 tess 0
20 1 tess 0
190 1 duct 0
10 2 tess 0
61 3 orb 2
91 1 tess 0
81 2 tess 0
121 2 tess 0
141 1 tess 0
171 1 tess 0
161 2 tess 0
181 1 duct 0
62 3 orb 3
92 1 tess 0
82 2 tess 0
122 2 tess 0
142 1 tess 0
172 1 tess 0
162 2 tess 0
182 1 duct 0
