,size order,paired,eyes,body,left,right
1,2,1000,0,0,0,0
2,2,1000,0,0,0,0
3,3,1000,0,0,0,0
L4,3,0,0,0,1,0
R4,3,0,0,0,0,1
L6,3,0,0,0,1,0
R6,3,0,0,0,0,1
L8,3,0,0,0,1,0
L9,2,0,0,0,1,0
R9,2,0,0,0,0,1
R8,3,0,0,0,0,1
L12,2,0,0,0,1,0
R12,3,0,0,0,0,1
L14,3,0,0,0,1,0
R14,3,0,0,0,0,1
body,3,1000,0,1000,0,0
R18,1,0,1000,0,0,1
L18,1,0,1000,0,1,0
