,size order,Middle,eyes,body,left,right
1,3,1000,0,0,0,0
2,3,1000,0,0,0,0
3,3,1000,0,0,0,0
4,1,0,0,0,1,0
5,1,0,0,0,0,1
6,1,0,0,0,1,0
7,1,0,0,0,0,1
8,1,0,0,0,1,0
9,1,0,0,0,0,1
11,1,0,0,0,1,0
12,1,0,0,0,0,1
14,1,0,0,0,1,0
15,1,0,0,0,1,0
16,1,0,0,0,0,1
17,1,0,0,0,0,1
18,3,0,1000,0,1,0
19,3,0,1000,0,0,1
20,1,0,0,0,1,0
21,1,0,0,0,1,0
22,1,0,0,0,0,1
23,1,0,0,0,0,1
24,1,0,0,0,1,0
25,1,0,0,0,1,0
26,1,0,0,0,1,0
27,1,0,0,0,0,1
28,1,0,0,0,0,1
29,1,0,0,0,0,1
30,1,0,0,0,1,0
31,1,0,0,0,0,1
32,1,0,0,0,1,0
33,1,0,0,0,0,1
34,3,1000,0,1000,0,0
