character size tissue_type homolog
body 5 body 1
1 2 mess 0
5 1 mess 0
8 1 duct 0
14 3 tess 0
L13 2 tess 0
L12 2 tess 0
L9 4 tess 0
L10 2 tess 0
L6 2 tess 0
L7 2 tess 0
L4 2 mess 0
L3 2 mess 0
L15 1 duct 0
L16 1 duct 0
L2 1 tess 0
L11 1 orb 2
R13 2 tess 0
R12 2 tess 0
R9 4 tess 0
R10 2 tess 0
R6 2 tess 0
R7 2 tess 0
R4 2 mess 0
R3 2 mess 0
R15 1 duct 0
R16 1 duct 0
R2 1 tess 0
R11 1 orb 3
