character size tissue_type homolog
body 5 body 1
3 4 tess 0
2 1 tess 0
1 1 tess 0
L4 3 tess 0
L18 1 orb 2
L6 2 tess 0
L9 1 tess 0
L12 1 tess 0
L14 3 tess 0
L8 2 tess 0
R4 3 tess 0
R18 1 orb 3
R6 2 tess 0
R9 1 tess 0
R12 1 tess 0
R14 3 tess 0
R8 2 tess 0
