character size tissue_type homolog
10 5 body 1
20 3 tess 0
30 2 tess 0
40 3 tess 0
52 1 tess 0
62 1 tess 0
72 1 tess 0
82 2 orb 3
92 1 tess 0
102 1 tess 0
112 1 tess 0
122 1 tess 0
132 1 tess 0
142 1 tess 0
152 2 tess 0
162 1 duct 0
51 1 tess 0
61 1 tess 0
71 1 tess 0
81 2 orb 2
91 1 tess 0
101 1 tess 0
111 1 tess 0
121 1 tess 0
131 1 tess 0
141 1 tess 0
151 2 tess 0
161 1 duct 0
