character size tissue_type homolog
body 5 body 1
2 3 tess 0
1 3 tess 0
L3 2 tess 0
Lduct 1 duct 0
L5 3 tess 0
L4 2 tess 0
R3 2 tess 0
Rduct 1 duct 0
R5 3 tess 0
R4 2 tess 0
Lorb 2 orb 2
Rorb 2 orb 3
L6 2 tess 0
R6 2 tess 0
