character size tissue_type homolog
body 5 body 1
2 4 tess 0
L1 2 tess 0
L3 1 tess 0
L4 3 tess 0
L5 1 tess 0
L6 3 tess 0
L7 1 orb 2
R1 2 tess 0
R3 1 tess 0
R4 3 tess 0
R5 1 tess 0
R6 3 tess 0
R7 1 orb 3
