character size tissue_type homolog
body 5 body 1
4 3 tess 0
3 1 tess 0
1 1 tes 0
L2 2 tess 0
L5 2 orb 2
L9 2 tess 0
L10 3 tess 0
L8 2 tess 0
L7 2 tess 0
L6 2 tess 0
R2 2 tess 0
R5 2 orb 3
R9 2 tess 0
R10 3 tess 0
R8 2 tess 0
R7 2 tess 0
R6 2 tess 0
