character size tissue_type homolog
body 5 body 1
3 3 tess 0
2 2 tess 0
1 3 tess 0
R6 1 tess 0
R11 1 tess 0
R14 1 tess 0
R15 2 orb 3
R20 1 tess 0
R25 1 tess 0
R21 1 tess 0
R26 1 tess 0
R24 1 tess 0
R30 1 tess 0
R32 2 tess 0
R31 1 duct 0
L6 1 tess 0
L11 1 tess 0
L14 1 tess 0
L15 2 orb 2
L20 1 tess 0
L25 1 tess 0
L21 1 tess 0
L26 1 tess 0
L24 1 tess 0
L30 1 tess 0
L32 2 tess 0
L31 1 duct 0
