,size,Middle,eyes,body,left,right
1,1,1000,0,0,0,0
2,2,1000,0,0,0,0
3,3,1000,0,0,0,0
L5,2,0,0,0,1,0
R5,2,0,0,0,0,1
L9,2,0,0,0,1,0
L8,3,0,0,0,1,0
R8,3,0,0,0,0,1
R9,2,0,0,0,0,1
L13,1,0,0,0,1,0
L12,2,0,0,0,1,0
R12,2,0,0,0,0,1
R13,1,0,0,0,0,1
L17,2,0,0,0,1,0
L16,1,0,0,0,1,0
R16,1,0,0,0,0,1
R17,2,0,0,0,0,1
L19,2,0,0,0,1,0
R19,2,0,0,0,0,1
L21,1,0,1000,0,1,0
R21,1,0,1000,0,0,1
body,3,1000,0,1000,0,0
