,size order,Middle,eyes,body,left,right
1,2,1,0,0,0,0
2,2,1,0,0,0,0
L3,1,0,0,0,1,0
R3,1,0,0,0,0,1
L5,2,0,1,0,1,0
R5,2,0,1,0,0,1
L7,2,0,0,0,1,0
L8,2,0,0,0,1,0
L9,2,0,0,0,1,0
R9,2,0,0,0,0,1
R8,2,0,0,0,0,1
R7,2,0,0,0,0,1
L13,1,0,0,0,1,0
L14,2,0,0,0,1,0
L15,2,0,0,0,1,0
L16,3,0,0,0,1,0
R16,3,0,0,0,0,1
R15,2,0,0,0,0,1
R14,2,0,0,0,0,1
R13,1,0,0,0,0,1
L21,1,0,0,0,1,0
L22,3,0,0,0,1,0
R22,3,0,0,0,0,1
R21,1,0,0,0,0,1
body,3,1,0,1,0,0
26,3,1,0,0,0,0
