Romundina Meemannia 13
Dialipina Dicksonosteus 14
Actinolepis Bothriolepis 9
Romundina Diandongpetalichthys 7
Dialipina Moythomasia 11
Meemannia Bothriolepis 10
Diandongpetalichthys Dicksonosteus 10
Eusthenopteron Wuttagoonaspis 12
Moythomasia Actinolepis 8
Entelognathus Moythomasia 14
Dicksonosteus Wuttagoonaspis 5
Meemannia Buchanosteus 5
Wuttagoonaspis Buchanosteus 6
Entelognathus Buchanosteus 7
Cheirolepis Dialipina 11
Dialipina Wuttagoonaspis 8
Dicksonosteus Meemannia 9
Meemannia Eurycaraspis 8
Diandongpetalichthys Eusthenopteron 8
Dialipina Actinolepis 7
Dicksonosteus Actinolepis 6
Moythomasia Buchanosteus 8
Entelognathus Eusthenopteron 9
Eusthenopteron Eurycaraspis 15
Diandongpetalichthys Meemannia 9
Eusthenopteron Dialipina 12
Dicksonosteus Guiyu 15
Diandongpetalichthys Moythomasia 16
Lunaspis Buchanosteus 10
Wuttagoonaspis Eurycaraspis 8
Diandongpetalichthys Eurycaraspis 2
Cheirolepis Eusthenopteron 9
Dialipina Guiyu 18
Romundina Buchanosteus 6
Eusthenopteron Bothriolepis 14
Wuttagoonaspis Bothriolepis 6
Entelognathus Eurycaraspis 7
Cheirolepis Cowralepis 9
Lunaspis Bothriolepis 11
Meemannia Cowralepis 6
Bothriolepis Cowralepis 9
Diandongpetalichthys Cowralepis 5
Cheirolepis Dicksonosteus 10
Dialipina Cowralepis 8
Dicksonosteus Eurycaraspis 12
Romundina Cowralepis 8
Dialipina Meemannia 6
Lunaspis Moythomasia 15
Entelognathus Lunaspis 7
Cheirolepis Buchanosteus 7
Lunaspis Brindabellaspis 14
Romundina Lunaspis 10
Eusthenopteron Buchanosteus 7
Dicksonosteus Moythomasia 9
Cowralepis Eurycaraspis 5
Romundina Actinolepis 7
Eusthenopteron Moythomasia 7
Lunaspis Guiyu 18
Romundina Dicksonosteus 9
Dialipina Brindabellaspis 16
Entelognathus Cowralepis 8
Cheirolepis Eurycaraspis 10
Actinolepis Wuttagoonaspis 8
Bothriolepis Buchanosteus 10
Entelognathus Wuttagoonaspis 8
Cheirolepis Lunaspis 11
Moythomasia Meemannia 10
Cowralepis Buchanosteus 6
Diandongpetalichthys Wuttagoonaspis 8
Cheirolepis Wuttagoonaspis 14
Moythomasia Cowralepis 10
Entelognathus Cheirolepis 9
Dialipina Lunaspis 13
Actinolepis Guiyu 13
Diandongpetalichthys Buchanosteus 6
Cheirolepis Actinolepis 12
Dicksonosteus Buchanosteus 5
Actinolepis Meemannia 5
Bothriolepis Eurycaraspis 10
Entelognathus Guiyu 17
Moythomasia Guiyu 16
Diandongpetalichthys Dialipina 8
Cheirolepis Brindabellaspis 17
Romundina Dialipina 14
Lunaspis Actinolepis 10
Brindabellaspis Cowralepis 11
Romundina Guiyu 20
Brindabellaspis Wuttagoonaspis 11
Entelognathus Meemannia 11
Cheirolepis Bothriolepis 19
Guiyu Buchanosteus 13
Romundina Bothriolepis 7
Eusthenopteron Cowralepis 9
Brindabellaspis Bothriolepis 11
Romundina Eusthenopteron 15
Lunaspis Meemannia 10
Meemannia Guiyu 12
Entelognathus Dialipina 12
Eusthenopteron Dicksonosteus 10
Dialipina Buchanosteus 10
Moythomasia Wuttagoonaspis 15
Diandongpetalichthys Brindabellaspis 8
Lunaspis Eurycaraspis 6
Actinolepis Buchanosteus 3
Brindabellaspis Eurycaraspis 10
Diandongpetalichthys Cheirolepis 12
Lunaspis Wuttagoonaspis 10
Actinolepis Eurycaraspis 6
Eurycaraspis Buchanosteus 10
Entelognathus Dicksonosteus 11
Eusthenopteron Actinolepis 8
Lunaspis Cowralepis 6
Actinolepis Brindabellaspis 16
Romundina Brindabellaspis 13
Meemannia Brindabellaspis 15
Diandongpetalichthys Guiyu 17
Moythomasia Bothriolepis 19
Entelognathus Brindabellaspis 9
Wuttagoonaspis Guiyu 15
Diandongpetalichthys Actinolepis 7
Eusthenopteron Lunaspis 11
Actinolepis Cowralepis 5
Bothriolepis Guiyu 18
Diandongpetalichthys Bothriolepis 10
Eusthenopteron Meemannia 12
Dicksonosteus Brindabellaspis 16
Romundina Moythomasia 12
Dicksonosteus Bothriolepis 10
Guiyu Cowralepis 13
Romundina Entelognathus 14
Lunaspis Dicksonosteus 11
Brindabellaspis Buchanosteus 13
Romundina Wuttagoonaspis 8
Eusthenopteron Guiyu 13
Moythomasia Eurycaraspis 12
Romundina Cheirolepis 16
Dicksonosteus Cowralepis 9
Guiyu Eurycaraspis 16
Romundina Eurycaraspis 8
Dialipina Bothriolepis 10
Moythomasia Brindabellaspis 23
Entelognathus Actinolepis 9
Cheirolepis Guiyu 19
Brindabellaspis Guiyu 28
Meemannia Wuttagoonaspis 5
Diandongpetalichthys Entelognathus 5
Diandongpetalichthys Lunaspis 7
Dialipina Eurycaraspis 10
Cheirolepis Meemannia 7
Entelognathus Bothriolepis 12
Romundina Meemannia 13
Cheirolepis Moythomasia 7
Eusthenopteron Brindabellaspis 18
