character size tissue_type homolog
body 5 body 1
4 1 tess 0
5 1 duct 0
2 1 tess 0
L6 2 tess 0
L11 2 tess 0
L12 2 tess 0
L10 1 tess 0
L9 1 tess 0
L7 2 tess 0
L8 2 orb 2
L3 1 tess 0
L1 1 tess 0
R6 2 tess 0
R11 2 tess 0
R12 2 tess 0
R10 1 tess 0
R9 1 tess 0
R7 2 tess 0
R8 2 orb 3
R3 1 tess 0
R1 1 tess 0
